trapscap1
parameters 26
# exponents ... coefficient
	  0   0   0   0   0   2    1.31820e-01 
	  0   0   0   0   0   0    1.10113e-01 
	  0   1   0   0   0   0    2.13158e-01 
	  0   0   1   0   0   0    -3.21747e-02 
	  2   2   0   0   0   0    9.28121e-01 
	  0   0   1   0   0   1    6.67535e-02 
	  0   0   0   2   0   2    9.12546e-02 
	  1   2   0   1   0   0    1.00502e+00 
	  0   2   0   2   0   0    3.26630e-01 
	  1   1   0   0   0   0    -7.25556e-02 
	  2   0   1   0   1   0    6.09990e-01 
	  1   0   1   1   0   0    2.63183e-01 
	  0   0   0   1   0   1    9.24534e-02 
	  1   0   0   0   0   1    5.46093e-02 
	  0   1   1   0   2   0    2.80688e-01 
	  0   0   2   0   0   0    -5.22396e-02 
trapscap6
parameters 15
# exponents ... coefficient
	  0   0   0   0   1   0    1.54652e-01 
	  0   1   0   0   1   0    6.21976e-02 
	  0   0   1   1   1   0    1.32733e-01 
	  0   0   0   1   0   3    2.59746e-01 
	  1   0   0   0   0   0    3.06872e-02 
	  0   0   0   0   0   1    6.19922e-02 
	  0   0   0   1   0   1    2.28697e-01 
	  1   0   0   1   1   0    3.18035e-01 
	  1   0   1   0   0   0    -1.96368e-01 
	  2   1   0   0   1   0    -4.50021e-01 
	  0   0   0   0   0   0    1.16215e-01 
	  0   1   0   0   0   0    2.32885e-01 
	  1   1   0   0   0   1    -2.92648e-01 
	  2   0   0   0   1   0    1.41616e-01 
	  0   0   0   2   2   0    9.79926e-02 
trapscap7
parameters 23
# exponents ... coefficient
	  0   2   0   0   0   0    -6.48610e-02 
	  0   0   0   0   1   0    -9.85907e-02 
	  0   0   0   1   0   3    8.23957e-01 
	  0   0   1   1   2   0    -2.00362e-01 
	  0   0   0   0   0   0    1.70228e-01 
	  0   1   0   0   0   0    2.47718e-01 
	  0   0   1   0   0   1    7.35332e-02 
	  1   0   0   0   3   0    -1.88029e-01 
	  1   0   0   1   2   0    -1.20664e+00 
	  0   0   0   2   0   0    1.57764e-01 
	  0   0   0   0   1   2    4.57446e-01 
	  2   0   0   0   2   0    -4.43938e-01 
	  1   0   1   0   1   0    -9.73164e-02 
	  0   0   1   0   0   0    6.76164e-02 
	  1   0   0   1   1   0    1.15025e+00 
	  1   0   0   0   2   1    6.70400e-01 
	  0   0   0   2   1   1    -3.88281e-01 
	  1   0   1   0   0   0    -2.57936e-01 
	  0   0   0   0   2   0    2.56879e-01 
	  2   0   0   0   1   0    6.78476e-01 
	  1   0   0   0   0   0    -2.32244e-02 
	  0   0   0   0   3   1    -2.21290e-01 
	  2   0   0   2   0   0    -1.41968e-01 
trapscap8
parameters 28
# exponents ... coefficient
	  0   0   0   0   1   0    4.73054e-02 
	  0   1   0   0   1   0    1.33858e+00 
	  0   0   1   0   0   0    1.29604e-01 
	  1   0   1   0   0   0    -2.95288e-01 
	  0   0   0   0   0   2    1.80641e-01 
	  0   0   0   3   0   1    1.58213e-01 
	  0   0   0   0   0   0    1.36783e-01 
	  0   1   0   0   2   0    -2.31377e+00 
	  1   0   0   2   0   1    1.35739e-01 
	  1   2   0   0   0   0    -3.59143e-01 
	  2   1   0   0   1   0    -4.50891e-01 
	  1   0   0   1   2   0    -5.04544e-01 
	  0   0   0   1   0   0    -5.59161e-02 
	  0   0   0   2   2   0    -7.60745e-01 
	  1   0   0   1   1   0    4.35908e-01 
	  0   0   0   2   1   0    6.11333e-01 
	  2   0   0   0   0   0    1.92734e-01 
	  1   0   0   0   0   0    -5.72631e-02 
	  1   0   0   0   0   1    1.82173e-01 
	  0   0   0   1   0   1    2.26105e-01 
	  0   1   0   0   0   1    9.67587e-02 
	  0   1   0   0   3   0    1.35522e+00 
	  1   0   0   1   0   0    2.38268e-01 
	  0   0   2   0   2   0    -1.79854e-01 
	  0   3   0   1   0   0    2.19961e-01 
	  0   0   0   0   2   0    1.25461e-01 
	  1   1   0   0   1   0    1.80885e-01 
	  1   1   0   0   0   1    -2.03074e-01 
trapscap9
parameters 19
# exponents ... coefficient
	  0   0   0   0   1   0    1.47596e-01 
	  0   1   0   0   1   0    4.85663e-01 
	  0   0   1   0   0   0    1.80270e-01 
	  1   1   0   0   0   0    6.91081e-01 
	  0   1   0   1   0   0    5.30207e-01 
	  0   0   0   1   0   1    2.56450e-01 
	  0   0   1   1   2   0    6.23458e-01 
	  1   0   0   0   1   1    5.32429e-01 
	  0   0   0   0   0   0    1.10027e-01 
	  0   1   0   0   3   0    -4.01068e-01 
	  1   1   0   1   0   0    -1.16219e+00 
	  2   1   0   0   1   0    -1.53518e+00 
	  0   1   0   2   0   0    -4.94818e-01 
	  0   1   0   0   0   1    1.72493e-01 
	  0   0   0   0   2   2    7.99983e-01 
	  0   0   2   0   0   0    -1.39398e-01 
	  0   2   0   1   1   0    7.78733e-01 
	  2   0   1   0   0   0    -2.30399e-01 
	  0   0   0   0   0   1    -3.42790e-02 
trapscap10
parameters 24
# exponents ... coefficient
	  1   1   0   0   0   0    4.56145e-01 
	  0   0   0   0   1   0    8.46180e-02 
	  0   0   1   0   0   0    2.05653e-01 
	  0   1   0   1   0   0    1.31226e-01 
	  0   1   0   0   1   0    4.03712e-01 
	  0   0   0   1   0   1    2.63232e-01 
	  0   0   0   0   0   0    1.50330e-01 
	  0   0   1   1   1   0    2.32895e-01 
	  0   1   0   0   3   0    -2.40096e-01 
	  1   0   0   0   0   1    2.54500e-01 
	  0   1   0   0   0   1    1.82166e-01 
	  0   0   0   0   1   2    4.36123e-01 
	  0   0   0   1   0   0    -9.75173e-02 
	  1   0   0   1   0   0    3.17529e-01 
	  2   1   0   0   0   0    -7.02590e-02 
	  0   0   0   2   0   0    1.26324e-01 
	  0   0   2   0   0   0    -1.17295e-01 
	  1   1   0   0   0   1    -1.35257e-01 
	  0   0   0   0   3   0    1.21028e-01 
	  1   0   0   0   0   0    -9.87210e-02 
	  2   0   0   0   0   0    1.94749e-01 
	  0   0   0   0   0   1    -4.50298e-02 
	  2   0   1   0   0   0    -2.02118e-01 
	  0   0   1   0   2   1    4.01852e-01 
trapscap11
parameters 23
# exponents ... coefficient
	  1   1   0   0   0   0    4.44539e-01 
	  0   0   0   0   1   0    8.54211e-02 
	  0   0   1   0   0   0    2.21355e-01 
	  0   1   0   1   0   0    1.36240e-01 
	  0   0   0   1   0   1    2.21903e-01 
	  0   0   0   0   0   0    1.79125e-01 
	  0   1   0   0   0   0    5.83290e-02 
	  0   0   1   1   1   0    7.66568e-01 
	  0   0   0   0   3   0    7.18326e-02 
	  1   0   0   0   0   1    1.40938e-01 
	  0   0   0   0   0   1    -5.23195e-02 
	  0   0   0   0   1   2    3.73391e-01 
	  0   0   0   1   0   0    -9.91597e-02 
	  1   0   0   0   0   0    -1.06023e-01 
	  2   0   0   0   2   0    4.45362e-01 
	  1   0   0   1   2   0    7.60702e-01 
	  0   0   0   2   2   0    3.32718e-01 
	  0   0   2   0   0   0    -1.26300e-01 
	  0   1   0   0   1   0    1.78383e-01 
	  0   1   0   0   0   1    1.30414e-01 
	  0   0   1   0   2   1    3.78366e-01 
	  0   0   1   1   2   0    -8.40962e-01 
	  1   0   0   0   1   1    1.85450e-01 
trapclav1
parameters 26
# exponents ... coefficient
	  0   0   0    2.17278e-01 
	  0   0   1    -1.22595e-01 
	  0   1   0    1.07976e-01 
	  1   1   0    -1.24497e-01 
	  0   0   2    -7.18216e-02 
	  2   2   0    -4.19621e-02 
	  1   0   1    -1.09509e-01 
	  2   0   1    6.37232e-02 
	  0   2   0    -5.58466e-02 
	  1   3   0    -1.08814e-01 
	  0   2   1    2.24198e-02 
	  2   1   0    -6.44909e-02 
	  2   1   1    -1.44408e-01 
	  0   1   1    7.29724e-02 
	  3   0   1    8.99883e-03 
	  1   2   1    1.48623e-01 
	  1   0   2    -1.02579e-01 
	  2   0   2    9.86683e-02 
	  1   0   0    3.29632e-04 
	  1   1   2    -2.08271e-01 
	  0   4   0    4.59183e-02 
	  4   0   0    6.75971e-03 
	  3   0   0    -3.19341e-03 
	  0   1   2    2.67150e-02 
	  1   2   0    4.70869e-02 
	  2   0   0    -1.31774e-03 
trapclav2
parameters 27
# exponents ... coefficient
	  0   0   0    2.09688e-01 
	  0   1   0    1.33055e-01 
	  0   0   1    -8.39104e-02 
