trapscap1
parameters 49
# exponents ... coefficient
	  0   0   0   2   0   1    -3.31957e-02 
	  0   0   0   2   1   1    -7.56434e-03 
	  1   0   1   0   0   0    1.26739e-03 
	  0   0   1   3   0   0    -2.41075e-03 
	  0   1   0   2   0   0    4.24310e-03 
	  0   0   0   2   0   2    -6.55374e-03 
	  2   0   0   1   0   1    6.32183e-04 
	  1   0   0   0   1   0    -3.79878e-03 
	  2   0   0   0   0   0    -2.26440e-02 
	  0   0   0   2   0   0    9.18903e-03 
	  0   0   1   1   0   1    -2.42303e-03 
	  2   2   0   0   0   0    9.71546e-03 
	  0   2   0   0   0   0    -1.22262e-02 
	  1   0   0   2   0   1    -6.02435e-03 
	  0   0   0   0   2   1    -1.30132e-02 
	  0   0   1   0   1   1    -1.80954e-02 
	  0   0   2   0   0   1    -7.20042e-03 
	  2   1   0   0   0   0    -1.71964e-02 
	  0   0   2   2   0   0    -5.05248e-03 
	  0   0   0   3   0   1    8.25140e-03 
	  0   0   1   2   1   0    -5.90393e-03 
	  1   0   0   3   0   0    2.27972e-03 
	  1   0   1   1   0   0    -1.12123e-02 
	  3   0   0   0   0   0    -1.10972e-02 
	  1   0   0   2   1   0    -3.68224e-03 
	  0   0   0   0   3   1    -3.30866e-03 
	  1   2   0   0   0   0    -2.84853e-02 
trapscap3
parameters 43
# exponents ... coefficient
	  0   0   0   0   0   0    1.48705e-01 
	  1   0   0   0   0   0    9.44655e-02 
	  0   0   1   2   0   0    -6.05145e-02 
	  0   1   0   0   0   0    -2.76872e-02 
	  0   0   0   1   0   0    3.54356e-02 
	  0   0   0   1   0   1    3.19896e-02 
	  0   0   0   1   1   0    7.49186e-02 
	  0   0   0   0   2   0    3.83232e-02 
	  0   0   1   1   0   0    6.05283e-02 
	  1   1   0   1   0   0    2.84159e-02 
	  0   0   0   2   2   0    -1.83862e-02 
	  0   0   1   0   1   0    5.41958e-02 
	  0   0   2   0   0   0    2.29955e-02 
	  0   0   0   2   1   0    -8.18818e-02 
	  0   0   0   0   1   1    4.16761e-02 
	  0   0   1   1   0   2    -2.60712e-03 
	  0   0   0   3   0   1    1.34129e-02 
	  0   0   0   1   1   2    -1.62243e-03 
	  0   0   1   1   0   1    8.59464e-03 
	  1   0   0   1   0   1    -9.18033e-03 
	  1   0   1   1   0   0    -1.62046e-02 
	  1   0   0   0   1   0    -7.81062e-03 
	  0   0   2   1   0   1    -1.32452e-02 
	  0   0   0   4   0   0    -5.89394e-03 
	  0   1   0   3   0   0    3.50581e-03 
	  1   0   0   3   0   0    4.38550e-03 
	  0   0   1   1   1   0    -3.35038e-02 
	  2   2   0   0   0   0    4.34261e-02 
	  0   0   0   3   1   0    2.81270e-02 
	  0   0   1   1   1   1    -3.02366e-02 
	  0   0   0   1   2   1    -2.15471e-02 
	  0   0   0   0   0   2    5.68919e-03 
	  0   0   2   2   0   0    -9.31965e-03 
	  0   0   0   2   0   1    -4.50676e-02 
	  2   0   0   0   0   0    -1.58146e-02 
	  0   2   0   1   0   0    -6.55456e-03 
